ID,WYMAGANIA
1,"Dostępne są 3 wersje aplikacji klienckiej: wersja demonstracyjna, końcowa, publiczna"
2,"W wersji demonstracyjnej dostępne jest tylko jedno zadanie testowe. W oknie zadania wyświetlony jest kalkulator z możliwością wykonania tylko
jednego typu operacji - dzielenia. Defekt polega na błędnym dzieleniu przez zero. W wyniku takiej operacji na ekranie wyświetla się zero"
3,Zadanie testowe z wersji demonstracyjnej nie może pojawić się w wersji końcowej
4,Wymagania środowiskowe - część kliencka: Windows 7 / Windows 8/8.1
5,Wymagania środowiskowe - część serwerowa: Windows 7
6,Język programowania oraz baza danych - niezdefiniowana (możliwość wyboru)
7,Dane z części klienckiej mogą zostać wyeksportowane w postaci pliku tekstowego
8,Dane z części klienckiej mogą zostać zaimportowane w części serwerowej z wygenerowanego wcześniej pliku tekstowego
9,Dane z części klienckiej dostarczane są do części serwerowej w postaci pliku tekstowego
10,W każdym zadaniu może występować tylko jeden defekt
11,W aplikacji powinno być 24 zadania
12,"Możliwy wybór trybu pracy podczas logowania (kapitan drużyny, członek drużyny, tryb zawodnika)"
13,Podczas działania aplikacji nie ma możliwości zmiany trybu pracy
14,"Raportowanie błędów możliwe jest tylko w trybie kapitana drużyny oraz w trybie zawodnika, w trybie członka drużyny możliwość ta jest zablokowana"
15,"Po każdorazowym kliknięciu ""zgłoś defekt"" tworzona jest kopia zapasowa w formacie pliku binarnego"
16,Losowa kolejność zadań wyświetlanych w części klienckiej
17,Część serwerowa powinna gromadzić raporty zadań od zawodników i drużyn
18,Klasyfikacja w części serwerowej powinna być prowadzona w dwóch kategoriach: indywidualnej i drużynowej
19,Aplikacja w części serwerowej powinna automatycznie oceniać poprawność zaraportowanych defektów w raportach
20,W części serwerowej możliwa jest ręczna zmiana ilości punktów przyznawanych za zadanie przez Komisję Sędziowską
21,Część serwerowa wyświetla klasyfikację generalną na zewnętrznym monitorze
